input_id,model,quant_level,n_pairs,n_skipped_pairs,nli_contradiction_max_mean,nli_contradiction_max_mean_std,nli_contradiction_mean_mean,nli_contradiction_mean_mean_std,nli_contradiction_q90_mean,nli_contradiction_q90_mean_std
MAIN-082,Gemma-3-4B-it,Q3_K_M,190,0,0.960961345147236,0.0290300314630793,0.2191539622265313,0.0340386427367173,0.7708979765570616,0.1059765249921618
MAIN-082,Gemma-3-4B-it,Q4_K_M,190,0,0.9819134315030056,0.0198247608037714,0.2764511111089302,0.0326960219320301,0.8770281159922566,0.0537810769000256
MAIN-082,Gemma-3-4B-it,Q5_K_M,190,0,0.9927064294174308,0.0127679582034391,0.2822909453164785,0.0327133564342355,0.9072586196359452,0.0539614478419917
MAIN-082,Gemma-3-4B-it,Q6_K,190,0,0.9734482207581624,0.0252594450123809,0.2360729564624111,0.0295320062540223,0.8015280681540335,0.0857389817043263
MAIN-082,Phi-4-mini-instruct,Q3_K_M,190,0,0.6080859551014062,0.1905508680856963,0.1538261026168316,0.0657989274425149,0.4256491064291831,0.1676942435368788
MAIN-082,Phi-4-mini-instruct,Q4_K_M,190,0,0.7216372970348834,0.1929001884647085,0.139774672601251,0.0479362296976179,0.4296576034238047,0.1449656176662195
MAIN-082,Phi-4-mini-instruct,Q5_K_M,190,0,0.7352688676630608,0.1455380569651477,0.1546682253353542,0.0511470297386454,0.4604852484613974,0.1453578134014421
MAIN-082,Phi-4-mini-instruct,Q6_K,190,0,0.7460634385289737,0.1902434405805303,0.1346437033521181,0.0412372948366236,0.4402480493370295,0.1610094548963593
MAIN-082,Qwen-MediCare-BD,Q3_K_M,190,0,0.3913512719488301,0.3022553787758733,0.1515831439532461,0.1381452248558806,0.3045153150225438,0.243544000004004
MAIN-082,Qwen-MediCare-BD,Q4_K_M,190,0,0.7803318243108238,0.2390546950848498,0.2536407199615628,0.0820657507110986,0.6379975841340041,0.2083928143921153
MAIN-082,Qwen-MediCare-BD,Q5_K_M,190,0,0.461755216029598,0.3284219007202261,0.1716533638349915,0.1244942332131026,0.3542738095464312,0.2593371544082374
MAIN-082,Qwen-MediCare-BD,Q6_K,190,0,0.7569006874592216,0.2688679127502601,0.2179214887860485,0.1006739715276472,0.5825446976614523,0.2195147165663345
MAIN-083,Gemma-3-4B-it,Q3_K_M,190,0,0.92002868510685,0.0547887987504386,0.1747952467232535,0.0263504860534325,0.6413887404336951,0.0867262183125492
MAIN-083,Gemma-3-4B-it,Q4_K_M,190,0,0.9490866842661628,0.0395868105533679,0.1873348663512531,0.0258516378411381,0.6370272789568777,0.08552240543942
MAIN-083,Gemma-3-4B-it,Q5_K_M,190,0,0.9888198442653816,0.0140714708370235,0.2392873465771131,0.0260493455868417,0.799717654349177,0.0583074723680882
MAIN-083,Gemma-3-4B-it,Q6_K,190,0,0.9782365584929092,0.019920214711391,0.2572633868687973,0.0227597759698004,0.7974849738455355,0.056030637299602
MAIN-083,Phi-4-mini-instruct,Q3_K_M,190,0,0.3272884469674145,0.1979156209954747,0.0591251382718908,0.0375255386235555,0.1702114038419044,0.1185163148250846
MAIN-083,Phi-4-mini-instruct,Q4_K_M,190,0,0.3461799073945032,0.2106563893384721,0.0558447514567928,0.0558848868516397,0.1429624255609046,0.1039719476703174
MAIN-083,Phi-4-mini-instruct,Q5_K_M,190,0,0.4587868824419056,0.2079254395909332,0.0786960592605855,0.0383989991207852,0.2222443357738872,0.1420516955250252
MAIN-083,Phi-4-mini-instruct,Q6_K,190,0,0.4672408153932701,0.1881382158122033,0.0649073718349401,0.0268556281249984,0.1934699600010605,0.0982146399212238
MAIN-083,Qwen-MediCare-BD,Q3_K_M,190,0,0.6237980610954202,0.2791295496487181,0.1955517771563334,0.1291133557422004,0.4820799079008101,0.2443975393024633
MAIN-083,Qwen-MediCare-BD,Q4_K_M,190,0,0.7090445977038609,0.2564865694726096,0.2505442108083607,0.0899123601899267,0.592828006498721,0.2225553872019393
MAIN-083,Qwen-MediCare-BD,Q5_K_M,190,0,0.3688559283179086,0.3302366953004808,0.1926741303199839,0.1775464453175425,0.3116718381554372,0.2730828039611059
MAIN-083,Qwen-MediCare-BD,Q6_K,190,0,0.623809337894072,0.2126950139063547,0.1825166396158909,0.1434428826403808,0.4462380758678181,0.1809866510665545
MAIN-084,Gemma-3-4B-it,Q3_K_M,190,0,0.910791476907532,0.0664473369930162,0.1562298879838254,0.0298199147565158,0.6096511625192843,0.1342091563098948
MAIN-084,Gemma-3-4B-it,Q4_K_M,190,0,0.8352130511004378,0.1103915015655848,0.1551883393955001,0.0366882178220154,0.5468072571329734,0.1489849447711054
MAIN-084,Gemma-3-4B-it,Q5_K_M,190,0,0.9658020873346472,0.0364362965243745,0.1960789169232854,0.025199481179065,0.7432793119944224,0.095253443261994
MAIN-084,Gemma-3-4B-it,Q6_K,190,0,0.9570041448001488,0.0414570989138248,0.1945374636579252,0.0294874875403109,0.742395498651219,0.1085311288061539
MAIN-084,Phi-4-mini-instruct,Q3_K_M,190,0,0.7426872586573043,0.1539014124731224,0.1792522371744486,0.0581491590728407,0.5359276235861036,0.1583465712485873
MAIN-084,Phi-4-mini-instruct,Q4_K_M,190,0,0.5921968599311273,0.1609067116974049,0.1192327225720311,0.0371772884238002,0.3554972386445779,0.1231280997982271
MAIN-084,Phi-4-mini-instruct,Q5_K_M,190,0,0.560248980892676,0.2596108120369679,0.1055145801506413,0.0555889249424942,0.3233299919264581,0.1735780111930779
MAIN-084,Phi-4-mini-instruct,Q6_K,190,0,0.4800469869538512,0.2411871424438654,0.0915206368134358,0.0498099028451005,0.2870752995556377,0.1753209483425076
